datetime,code,open,close,high,low,vol,amount,p_change
2019/11/29,2765.023926,2765.023926,2765.023926,2765.023926,2765.023926,2765.023926,2765.023926,2765.023926
2019/12/2,2778.592773,2778.592773,2778.592773,2778.592773,2778.592773,2778.592773,2778.592773,2778.592773
2019/12/2,2778.019531,2778.019531,2778.019531,2778.019531,2778.019531,2778.019531,2778.019531,2778.019531
2019/12/2,2772.668457,2772.668457,2772.668457,2772.668457,2772.668457,2772.668457,2772.668457,2772.668457
2019/12/2,2774.197266,2774.197266,2774.197266,2774.197266,2774.197266,2774.197266,2774.197266,2774.197266
2019/12/2,2766.361572,2766.361572,2766.361572,2766.361572,2766.361572,2766.361572,2766.361572,2766.361572
2019/12/2,2768.654785,2768.654785,2768.654785,2768.654785,2768.654785,2768.654785,2768.654785,2768.654785
2019/12/2,2765.979492,2765.979492,2765.979492,2765.979492,2765.979492,2765.979492,2765.979492,2765.979492
2019/12/2,2769.992676,2769.992676,2769.992676,2769.992676,2769.992676,2769.992676,2769.992676,2769.992676
2019/12/3,2757.379395,2757.379395,2757.379395,2757.379395,2757.379395,2757.379395,2757.379395,2757.379395
2019/12/3,2765.214844,2765.214844,2765.214844,2765.214844,2765.214844,2765.214844,2765.214844,2765.214844
2019/12/3,2762.921387,2762.921387,2762.921387,2762.921387,2762.921387,2762.921387,2762.921387,2762.921387
2019/12/3,2776.681641,2776.681641,2776.681641,2776.681641,2776.681641,2776.681641,2776.681641,2776.681641
2019/12/3,2772.477051,2772.477051,2772.477051,2772.477051,2772.477051,2772.477051,2772.477051,2772.477051
2019/12/3,2772.859375,2772.859375,2772.859375,2772.859375,2772.859375,2772.859375,2772.859375,2772.859375
2019/12/3,2776.681641,2776.681641,2776.681641,2776.681641,2776.681641,2776.681641,2776.681641,2776.681641
2019/12/3,2779.739502,2779.739502,2779.739502,2779.739502,2779.739502,2779.739502,2779.739502,2779.739502
2019/12/4,2760.437012,2760.437012,2760.437012,2760.437012,2760.437012,2760.437012,2760.437012,2760.437012
2019/12/4,2768.272705,2768.272705,2768.272705,2768.272705,2768.272705,2768.272705,2768.272705,2768.272705
